fold,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music
1,0.5079365079365079,0.9210526315789473,0.7766990291262136,0.8490566037735849,0.496,0.5512820512820513,0.8108108108108109,0.6805555555555556,0.6666666666666666,0.8795180722891566
2,0.5081967213114754,0.9583333333333334,0.6546762589928058,0.7768595041322314,0.797752808988764,0.38271604938271603,0.9375,0.30985915492957744,0.9493670886075949,0.7818181818181819
3,0.5609756097560976,0.9130434782608695,0.6822429906542056,0.7387387387387387,0.5688073394495413,0.3148148148148148,0.9230769230769231,0.375,0.7013888888888888,0.5483870967741935
4,0.6086956521739131,0.972972972972973,0.691358024691358,0.7663551401869159,0.47019867549668876,0.5643564356435643,0.5370370370370371,0.39823008849557523,0.8896551724137931,0.5757575757575758
5,0.6,0.9726027397260274,0.7641509433962265,0.7647058823529411,0.4897959183673469,0.6164383561643836,0.7755102040816326,0.6514285714285715,0.6565656565656566,0.7358490566037735
6,0.41333333333333333,0.6829268292682927,0.6854838709677419,0.8932038834951457,0.6756756756756757,0.6271186440677966,0.7719298245614035,0.4528301886792453,0.651685393258427,0.5135135135135135
7,0.5905511811023622,0.6785714285714286,0.6581196581196581,0.7787610619469026,0.5909090909090909,0.5604395604395604,0.9534883720930233,0.5370370370370371,0.5584415584415584,0.8717948717948718
8,0.55,1.0,0.7019230769230769,0.7433628318584071,0.648,0.7142857142857143,0.5882352941176471,0.7457627118644068,0.7659574468085106,0.5901639344262295
9,0.6052631578947368,0.8529411764705882,0.5862068965517241,0.7339449541284404,0.5769230769230769,0.9117647058823529,0.8709677419354839,0.672566371681416,0.975609756097561,0.7608695652173914
10,0.7894736842105263,0.9117647058823529,0.6222222222222222,0.7373737373737373,0.6727272727272727,0.53125,0.9090909090909091,0.9,0.88,0.7788461538461539
average,0.5734425847718952,0.8864209296064812,0.6823082971645233,0.7782362337987045,0.5986789858537457,0.5774466331962954,0.807764711680487,0.5723269679671386,0.7695337627748657,0.7036518022041042
